name,country,latitude,longitude,population,elevation,elevation_feet,elevation_source,elevation_confidence,source,distance_km_to_alps,hospital_confidence_pct,hospital_error,hospital_in_city,hospital_reasoning
Valbonne,IT,43.63292,6.99911,12633,229.0,751.3,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 2.82 km)
Peißenberg,AT,47.80466,11.0699,12689,584.0,1916.0,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Wasserburg am Inn,AT,48.0525,12.22341,12662,455.0,1492.8,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.67 km)
Knittelfeld,AT,47.21667,14.81667,11521,655.0,2149.0,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.31 km)
Schongau,AT,47.8124,10.89664,12442,723.0,2372.0,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.33 km)
Murnau am Staffelsee,AT,47.68085,11.20125,11958,693.0,2273.6,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.62 km)
Bruneck,IT,46.79942,11.93429,12282,831.0,2726.4,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.17 km)
Gavardo,IT,45.58939,10.44257,8323,205.0,672.6,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.25 km)
Luino,IT,46.00185,8.74512,12146,206.0,675.9,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.60 km)
Peiting,AT,47.79549,10.92951,12106,715.0,2345.8,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Pieve di Soligo,IT,45.89836,12.17128,9516,135.0,442.9,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.36 km)
Cornedo Vicentino,IT,45.61626,11.33225,7654,194.0,636.5,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Lienz,AT,46.8289,12.76903,11572,675.0,2214.6,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.77 km)
Miesbach,AT,47.78903,11.83382,11354,702.0,2303.1,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 2.41 km)
Buchloe,AT,48.03719,10.72548,11978,619.0,2030.8,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.39 km)
Le Pont-de-Claix,FR,45.12321,5.69782,11963,244.0,800.5,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 2.55 km)
Rankweil,AT,47.27108,9.64308,11855,467.0,1532.2,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.24 km)
Sant'Ambrogio di Valpolicella,IT,45.52089,10.83618,10384,158.0,518.4,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Bonneville,FR,46.0802,6.40726,11722,449.0,1473.1,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.10 km)
Maniago / Manià,IT,46.1709743,12.7073987,11708,275.0,902.2,opentopo,0.9,osm,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.49 km)
Trostberg an der Alz,DE,48.02802,12.55804,11676,483.0,1584.6,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.09 km)
Gaillard,FR,46.1853,6.20693,11660,426.0,1397.6,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 2.51 km)
Sassenage,FR,45.21266,5.6629,10641,204.0,669.3,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 2.30 km)
Passy,FR,45.92341,6.69562,11613,648.0,2126.0,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 2.31 km)
Apt,FR,43.87638,5.39635,11609,234.0,767.7,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.07 km)
Valmadrera,IT,45.84628,9.35824,11609,234.0,767.7,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Briançon,IT,44.89978,6.64201,11577,1284.0,4212.6,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.98 km)
Nembro,IT,45.74411,9.76127,9617,324.0,1063.0,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Götzis,AT,47.33306,9.63306,11473,426.0,1397.6,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Raubling,AT,47.7905,12.11088,11382,458.0,1502.6,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Annabichl,AT,46.65,14.31667,11374,450.0,1476.4,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.98 km)
Borgo San Dalmazzo,IT,44.33785,7.4931,11128,631.0,2070.2,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.87 km)
